#{"t_start": 1678050823.8335638, "env_id": "LunarLander-v2"}
r,l,t
-105.921934,67,1.499116
-80.541727,83,1.610913
-8.167375,115,1.765034
-104.689633,70,1.860264
-107.97081,78,1.962827
-224.220863,70,2.056983
-412.266845,113,2.205534
-425.562589,104,2.350061
-311.904195,121,2.520272
-243.633583,121,2.681624
-272.938382,125,2.859543
-464.025896,101,3.009839
-106.840934,77,3.114489
-177.514744,71,3.210806
-360.586461,73,3.308263
-204.61938,82,3.417006
-200.867016,129,3.583636
-300.444083,98,3.715436
-393.59011,109,3.866582
-213.902203,79,3.970158
-337.485831,91,4.098051
-169.705925,76,10.994649
-104.770891,75,11.102022
-129.105922,75,11.210758
-173.057874,155,11.440994
-124.479334,102,11.58686
-227.913863,121,11.819823
-226.806003,95,11.958799
-134.786285,99,12.106937
-126.458171,81,12.227182
-167.091791,74,12.341022
-248.585717,106,12.498003
-155.729666,86,12.622901
-84.570759,60,12.717918
-111.447281,73,12.830626
-121.794462,121,13.033274
-118.092757,73,13.145447
-172.073867,75,13.264909
-133.084111,114,13.440226
-104.224587,89,13.576591
-146.696035,100,13.728886
-112.914382,77,13.849526
-163.352915,96,13.997988
-310.58383,123,20.860986
-194.074937,94,20.992946
-176.883626,79,21.099673
-91.394476,65,21.198594
-301.313941,127,21.385391
-86.986775,58,21.458781
-144.771002,95,21.603086
-140.188253,122,21.782881
-115.128382,81,21.899842
-198.449806,93,22.039748
-221.148425,106,22.27302
8.805564,158,22.518934
-158.40161,127,22.708933
-201.273273,100,22.866633
-317.474945,112,23.044769
-117.471024,84,23.169689
-257.094576,131,23.389509
-230.738164,87,23.538885
-199.50151,69,23.648887
-183.295645,105,23.824011
-27.719503,131,31.174024
-48.054293,83,31.305454
-181.3416,128,31.51159
-127.47518,90,31.650499
-228.554256,106,31.826232
-69.753851,67,31.934411
-52.776155,68,32.048632
-81.597514,64,32.155809
-55.825375,67,32.264233
-289.065378,137,32.496705
-234.379636,145,32.743057
-137.317359,114,32.93825
4.027755,100,33.10374
-143.18149,99,33.271419
-99.451468,72,33.390663
-228.138891,104,33.629103
-217.88009,118,33.81968
-166.314689,122,34.020691
-106.470312,72,34.138062
-97.374941,69,34.249934
-136.389498,106,34.43282
-106.826016,106,34.60954
-138.234063,102,42.049836
-162.196674,106,42.223082
-56.197887,84,42.362398
-76.418012,69,42.468705
-160.888939,106,42.645644
-39.191963,88,42.783574
-63.97954,69,42.897999
-45.374037,87,43.032089
-97.725956,73,43.148812
7.153987,155,43.410233
-50.654813,74,43.530407
-110.519286,126,43.739829
-87.154765,108,43.923147
-126.072296,97,44.086412
-108.094838,114,44.287907
-201.812332,139,44.523088
-123.353831,159,44.809966
-1012.545104,206,45.203127
-1179.547004,203,45.491949
-144.127742,132,46.08041
-83.849164,102,46.308578
-55.162345,167,53.508279
-129.353872,81,53.633073
-108.511313,130,53.833737
-108.521442,128,54.03199
-119.894807,119,54.213309
-34.424085,132,54.421896
-167.197903,116,54.600104
-60.757505,98,54.750056
-72.997977,97,54.897795
-51.461273,137,55.114969
-140.712604,150,55.356405
-210.309213,122,55.558797
-68.513942,136,55.785139
-58.02907,94,55.938833
-126.889895,115,56.131125
-98.215975,68,56.243263
-30.651048,119,56.434145
-28.189119,114,63.348657
-77.278352,136,63.558788
-81.142081,93,63.749748
-62.566766,158,64.037787
-60.82257,188,64.386132
-86.724896,143,64.649842
-37.737059,157,65.00001
-86.263559,157,65.363945
-11.706791,159,65.673226
-78.376033,81,65.82502
-50.212262,143,66.103723
-59.242681,176,66.438637
-13.957896,138,66.681214
-52.673204,93,66.847677
-18.000572,108,67.042596
-5.258811,126,74.533067
-186.348718,280,75.074757
-116.318601,231,75.500566
-75.421784,171,75.958779
-75.211654,165,76.290308
-74.6794,199,76.676255
-31.050861,133,76.923752
-21.472845,155,77.206981
-21.818526,162,77.510893
-57.195048,169,77.82634
-83.895474,208,78.206664
-30.336746,219,85.614564
26.020297,130,85.849873
-66.074382,316,86.412973
-56.017408,164,86.71563
-45.618082,136,87.009284
0.535137,214,87.392721
-34.391062,251,87.88394
0.345796,157,88.200572
13.318671,117,88.439335
-25.952968,146,88.750582
-20.791128,177,89.136169
6.010238,121,89.40008
-66.195085,298,97.686709
-1.552441,359,98.481841
11.515368,174,98.847724
-8.605732,164,99.206524
-82.155468,310,100.119789
-474.352963,323,101.283735
-619.604453,531,102.811482
-4.255985,149,103.376556
-37.486371,470,112.684898
61.636015,1000,118.36215
-78.389491,421,120.469756
8.70678,1000,130.949638
41.609524,1000,136.137815
67.425755,1000,147.906197
74.907949,1000,153.070062
11.015599,247,154.024116
-98.184764,216,176.058806
-35.969455,218,190.588693
-69.633813,191,203.327822
